file	line	tag	text
chatbot.html	292	button	ಕನ್ನಡ
chatbot.html	293	a	📸 Disease
chatbot.html	294	a	🌱 Crops
chatbot.html	313	button	🗑️ Clear Chat
chatbot.html	321	h3	ನಮಸ್ಕಾರ! ನಾನು ನಿಮ್ಮ ಕೃಷಿ ಸಹಾಯಕ
chatbot.html	322	p	ನಿಮ್ಮ ಕೃಷಿ ಸಮಸ್ಯೆಗಳನ್ನು ಕನ್ನಡದಲ್ಲಿ ಕೇಳಿ       ಬೆಳೆ ರೋಗ, ಮಳೆ, ಮಾರುಕಟ್ಟೆ ಬೆಲೆ — ಎಲ್ಲದಕ್ಕೂ ಸಹಾಯ ಮಾಡುತ್ತೇನೆ
chatbot.html	329	button	🌿 ಬೆಳೆ ರೋಗ
chatbot.html	330	button	🌱 ಯಾವ ಬೆಳೆ?
chatbot.html	331	button	💧 ನೀರಾವರಿ
chatbot.html	332	button	🛒 ಮಾರುಕಟ್ಟೆ ಬೆಲೆ
chatbot.html	333	button	🚨 ಸರ್ಕಾರಿ ಯೋಜನೆ
chatbot.html	564	h3	ನಮಸ್ಕಾರ! ನಾನು ನಿಮ್ಮ ಕೃಷಿ ಸಹಾಯಕ
chatbot.html	565	p	ನಿಮ್ಮ ಕೃಷಿ ಸಮಸ್ಯೆಗಳನ್ನು ಕನ್ನಡದಲ್ಲಿ ಕೇಳಿ         ಬೆಳೆ ರೋಗ, ಮಳೆ, ಮಾರುಕಟ್ಟೆ ಬೆಲೆ — ಎಲ್ಲದಕ್ಕೂ ಸಹಾಯ ಮಾಡುತ್ತೇನೆ
crop-health.html	18	h2	Step 1: Upload Crop Photo
crop-health.html	19	p	Take a clear photo of your crop. AI will check health using current weather.
crop-health.html	21	button	📷 Take Photo
crop-health.html	32	button	🔊 Listen
crop-health.html	38	p	Loading weather...
crop-health.html	150	h3	What to do next?
crop-health.html	151	a	📷                                              Disease Check                         If health analysis shows disease signs                                          →
crop-health.html	159	a	💧                                              Smart Irrigation                         Adjust watering based on health                                          →
crop-recommend.html	277	button	ಕನ್ನಡ
crop-recommend.html	278	a	📸 Disease Scanner
crop-recommend.html	288	h3	📋 Your Farm Details
crop-recommend.html	293	label	📍 District
crop-recommend.html	295	option	Select your district
crop-recommend.html	301	label	🌱 Soil Type
crop-recommend.html	303	option	Select soil type
crop-recommend.html	304	option	Black Cotton Soil
crop-recommend.html	305	option	Red Loamy Soil
crop-recommend.html	306	option	Sandy Soil
crop-recommend.html	307	option	Loamy Soil
crop-recommend.html	308	option	Clay Soil
